[id];[SIGLA DA INSTALAÇÃO];[NOME DA INSTALAÇÃO];[LATITUDE];[LONGITUDE]
1;PEREGRINO A;PEREGRINO A;-23.33383889;-41.29797222
2;PEREGRINO B;PEREGRINO B;-23.29541667;-41.20739167
3;WHPC;PEREGRINO C;-23.34819333;-41.40877444
4;3R-1;PLATAFORMA 3R-1;-19.56278333;-39.25528333
5;PARB1;PLATAFORMA DE ARABAIANA 1;-4.69477028;-36.72455639
6;PCP-I;PLATAFORMA DE CARAPEBA 1;-22.24508639;-40.44303222
7;PCP-II;PLATAFORMA DE CARAPEBA 2;-22.23357944;-40.415245
8;PCP-III;PLATAFORMA DE CARAPEBA 3;-22.24496611;-40.44234222
9;PCE-1;PLATAFORMA DE ENCHOVA;-22.70836167;-40.693215
10;PGP-1;PLATAFORMA DE GAROUPA;-22.37477944;-40.417455
11;PMXL-1;PLATAFORMA DE MEXILHÃO;-24.35316389;-44.38281361
12;PPM-1;PLATAFORMA DE PAMPO 1;-22.7980075;-40.76254444
13;PPG-1A;PLATAFORMA DE PARGO 1A;-22.25555306;-40.32994917
14;PPE1B;PLATAFORMA DE PESCADA 1B;-4.70450833;-36.825635
15;PPE02;PLATAFORMA DE PESCADA 2;-4.71841806;-36.83579444
16;PVM-1;PLATAFORMA DE VERMELHO 1;-22.16066028;-40.2787175
17;PVM-3;PLATAFORMA DE VERMELHO 3;-22.189705;-40.30321833
18;POLVO A;POLVO A;-23.08381389;-40.99542917
19;PAG01;AGULHA 1;-4.907084;-36.25953
20;PAG02;AGULHA 2;-4.876266;-36.2688
21;PAG03;AGULHA 3 ;-4.916317;-36.25618
22;PARB3;ARABAIANA 3 ;-4.699183;-36.7506
23;PART1;ARATUM 1 ;-5.033817;-36.5711
24;PART2;ARATUM 2 ;-5.057;-36.53963
25;PAT01;ATUM 1 ;-2.978117;-38.95823
26;PAT02;ATUM 2 ;-2.961733;-38.97595
27;PAT03;ATUM 3 ;-2.968483;-38.97395
28;PBIQ-1;BIQUARA 1 ;-4.512372;-36.333667
29;CACAO1/2/3;CAÇÃO 1/2/3;-19.09927;-39.65423
30;PCB01;CAIOBA 1 ;-11.0082;-36.93273
31;PCB02;CAIOBA 2 ;-11.00052;-36.92472
32;PCB03;CAIOBA 3 ;-10.99598;-36.92368
33;PCB04;CAIOBA 4 ;-11.00718;-36.92582
34;PCM-1;CAMORIM 1 ;-10.99395;-36.99482
35;PCM-2;CAMORIM 2 ;-10.98452;-36.9822
36;PCM-3;CAMORIM 3 ;-10.96783;-36.97737
37;PCM-4;CAMORIM 4 ;-10.9855;-36.96477
38;PCM-5;CAMORIM 5 ;-10.99952;-36.97212
39;PCM-6;CAMORIM 6 ;-10.98333;-36.93287
40;PCM-7;CAMORIM 7 ;-11.01398;-36.98843
41;PCM-8;CAMORIM 8;-10.98808;-36.938
42;PCM-9;CAMORIM 9 ;-10.9871;-36.94847
43;PCM-10;CAMORIM 10 ;-10.97747;-36.95355
44;PCH-1;CHERNE 1;-22.43295;-40.48048
45;PCH-2;CHERNE 2 ;-22.46602;-40.46877
46;PCIO-1;CIOBA 1 ;-4.964983;-36.42225
47;PCR-1;CURIMÃ 1 ;-3.090833;-38.79352
48;PCR-2;CURIMÃ 2;-3.091017;-38.7942
49;PDO-1;DOURADO 1 ;-11.09837;-36.95975
50;PDO-2;DOURADO 2;-11.11517;-36.96655
51;PDO-3;DOURADO 3 ;-11.1199;-36.97897
52;PEP-1;ESPADA 1;-3.133117;-38.8204
53;PGA-1;GUARICEMA 1;-11.14925;-37.04915
54;PGA-2;GUARICEMA 2 ;-11.1645;-37.05257
55;PGA-3;GUARICEMA 3 ;-11.14275;-37.03998
56;PGA-4;GUARICEMA 4 ;-11.13175;-37.04753
57;PGA-5;GUARICEMA 5 ;-11.15367;-37.06187
58;PGA-6;GUARICEMA 7 ;-11.20232;-37.07955
59;PGA-7;GUARICEMA 8 ;-11.17753;-37.0185
60;MANATI;MANATI I;-13.48985;-38.81242
61;MERLUZA 1;MERLUZA 1;-25.26693;-45.2528
62;MOP 1;MOP 1;-20.985;-40.40873
63;PNA-1;NAMORADO 1;-22.43865;-40.4245
64;PNA-2;NAMORADO 2;-22.45073;-40.41175
65;OU 2;OESTE UBARANA 2;-4.888617;-36.43188
66;PPG-1;PARGO I;-22.25555;-40.32993
67;PPER;PEROÁ 1 ;-19.56445;-39.25395
68;PPE-1A;PESCADA 1A ;-4.70465;-36.8257
69;PPE-2;PESCADA 2;-4.718367;-36.83582
70;PPE-3;PESCADA 3;-4.6844;-36.82498
71;PRA-1;PRA-1;-22.17123;-40.12175
72;PRB-1;ROBALO 1;-10.65353;-36.63528
73;PUB-1;UBARANA 1 ;-4.917083;-36.33809
74;PUB-2;UBARANA 2;-4.931117;-36.33865
75;PUB-3;UBARANA 3 ;-4.92425;-36.37382
76;PUB-4;UBARANA 4 ;-4.910117;-36.41055
77;PUB-5;UBARANA 5 ;-4.934566;-36.36201
78;PUB-6;UBARANA ;-4.945267;-36.36938
79;PUB-7;UBARANA 7 ;-4.942017;-36.35442
80;PUB-8;UBARANA 8 ;-4.924317;-36.3508
81;PUB-9;UBARANA 9 ;-4.920233;-36.32488
82;PUB-10;UBARANA 10 ;-4.949317;-36.36153
